order_id,order_date,region,sales_channel,product_category,customer_segment,customer_age,unit_price,quantity,discount_pct,revenue,cost,profit,shipping_days,satisfaction_score,returned
ORD-02423,2024-06-03 15:42:57.088544272,North,Online,Clothing,Returning,47.0,9.22,4,15.4,36.86,5.68,8.47,2.0,4.0,0
ORD-01602,2023-08-08 20:09:29.084542272,North,Mobile App,Food & Beverage,Returning,30.0,20.59,2,17.2,41.19,13.44,7.24,3.0,5.0,0
ORD-02842,2024-11-03 15:59:31.185592800,South,In-Store,Electronics,New,53.0,206.76,1,8.6,206.76,130.98,57.92,1.0,1.0,1
ORD-02088,2024-02-02 07:38:52.166083044,West,In-Store,Home & Garden,New,40.0,109.9,1,17.4,109.9,80.09,10.65,0.0,4.0,0
ORD-02274,2024-04-10 05:49:22.481240624,South,Mobile App,Home & Garden,Returning,57.0,5.0,1,9.9,5.0,3.96,0.54,1.0,5.0,0
ORD-02506,2024-07-03 23:09:34.487243624,East,Phone,Home & Garden,Returning,24.0,122.37,4,17.3,489.5,88.74,49.83,6.0,,0
ORD-02461,2024-06-17 12:45:44.572286144,East,Online,Electronics,Returning,23.0,168.58,1,6.4,168.58,128.61,29.2,4.0,5.0,0
ORD-01108,2023-02-09 10:33:11.795897949,North,Online,Books,New,20.0,21.52,2,12.1,43.03,13.96,9.92,3.0,3.0,0
ORD-01426,2023-06-05 13:37:36.528264132,South,Online,Electronics,VIP,38.0,36.41,1,22.3,36.41,25.89,2.4,6.0,5.0,0
ORD-02945,2024-12-11 06:43:24.102051024,South,Online,Clothing,New,33.0,35.0,3,11.3,105.01,26.63,13.2,5.0,3.0,0
ORD-02696,2024-09-11 08:23:31.905952976,North,Phone,Clothing,Returning,40.0,86.32,1,6.5,86.32,65.43,15.29,5.0,4.0,0
ORD-02890,2024-11-21 04:40:56.428214112,North,Mobile App,Sports,New,28.0,52.87,1,19.3,52.87,31.95,10.7,0.0,5.0,0
ORD-02683,2024-09-06 14:27:18.819409704,West,Online,Electronics,Returning,31.0,52.74,1,6.8,52.74,39.37,9.8,4.0,3.0,0
ORD-01298,2023-04-19 19:47:09.214607304,East,Online,Clothing,Returning,24.0,12.76,3,7.9,38.29,8.65,9.33,3.0,4.0,0
ORD-02574,2024-07-28 19:08:15.247623816,North,Mobile App,Sports,New,,37.23,2,12.9,74.45,21.19,22.47,4.0,5.0,0
ORD-02330,2024-04-30 16:37:41.930965480,East,In-Store,Clothing,New,31.0,69.13,2,17.0,138.27,47.56,19.62,0.0,1.0,0
ORD-01691,2023-09-10 08:11:17.138569284,South,In-Store,Clothing,New,40.0,71.84,3,2.0,215.52,54.99,46.33,0.0,4.0,0
ORD-02273,2024-04-09 21:03:30.705352680,North,In-Store,Books,New,71.0,6.81,2,,13.61,5.06,3.16,0.0,4.0,0
ORD-01392,2023-05-24 03:38:16.148074038,South,In-Store,Sports,Returning,32.0,70.62,3,14.7,211.86,55.75,13.43,0.0,4.0,1
ORD-02642,2024-08-22 15:06:56.008004000,South,In-Store,Clothing,Returning,29.0,55.29,3,8.8,165.87,33.21,51.65,0.0,4.0,0
ORD-01501,2023-07-02 22:57:19.719859930,South,Mobile App,Home & Garden,New,51.0,123.55,2,13.1,247.1,92.74,29.27,3.0,4.0,0
ORD-02137,2024-02-20 05:06:09.184592296,South,Mobile App,Electronics,Returning,39.0,170.47,4,7.6,681.88,135.97,86.37,2.0,4.0,0
ORD-01206,2023-03-17 05:27:45.832916458,North,Online,Home & Garden,New,18.0,22.19,4,3.2,88.75,13.62,31.42,4.0,4.0,0
ORD-02475,2024-06-22 15:27:49.434717360,East,Mobile App,Clothing,Returning,32.0,19.53,1,0.0,19.53,12.71,6.82,3.0,3.0,0
ORD-01841,2023-11-04 02:50:43.521760880,East,Mobile App,Food & Beverage,New,51.0,5.0,9,9.0,45.0,3.99,5.02,3.0,2.0,0
ORD-01452,2023-06-15 01:30:02.701350676,South,In-Store,Books,Returning,37.0,5.0,2,13.9,10.0,2.87,2.86,0.0,3.0,0
ORD-01630,2023-08-19 01:33:38.809404704,East,In-Store,Electronics,Returning,33.0,139.8,7,4.9,978.59,105.95,188.5,0.0,3.0,0
ORD-01127,2023-02-16 09:04:35.537768884,West,Online,Food & Beverage,New,48.0,19.4,3,13.9,58.2,15.23,4.38,5.0,5.0,0
ORD-02123,2024-02-15 02:24:04.322161080,West,In-Store,Home & Garden,VIP,47.0,83.89,5,23.6,419.46,67.01,-14.71,3.0,3.0,1
ORD-01037,2023-01-14 12:16:55.707853927,North,Online,Books,VIP,,17.64,1,28.0,17.64,11.95,0.74,5.0,4.0,0
ORD-01789,2023-10-16 03:05:51.175587796,West,Phone,Clothing,Returning,57.0,86.93,4,16.8,347.71,63.57,35.13,4.0,5.0,0
ORD-01882,2023-11-19 02:11:06.333166584,North,Online,Books,New,30.0,18.34,2,6.4,36.69,10.6,13.17,5.0,4.0,0
ORD-02302,2024-04-20 11:13:32.206103056,North,In-Store,Sports,New,28.0,64.17,1,5.2,64.17,41.04,19.82,0.0,5.0,0
ORD-02699,2024-09-12 10:41:07.233616808,South,Online,Clothing,New,40.0,32.41,2,18.9,64.82,21.76,9.03,4.0,4.0,0
ORD-02319,2024-04-26 16:13:12.396198096,North,Mobile App,Home & Garden,VIP,72.0,47.34,1,12.6,47.34,29.03,12.34,2.0,2.0,0
ORD-01058,2023-01-22 04:20:03.001500750,North,Mobile App,Books,VIP,33.0,25.19,2,14.3,50.37,16.21,10.74,5.0,5.0,0
ORD-02510,2024-07-05 10:13:01.590795400,West,Online,Electronics,VIP,37.0,132.41,1,15.8,132.41,88.23,23.29,3.0,4.0,0
ORD-01196,2023-03-13 13:49:08.074037019,East,In-Store,Electronics,New,51.0,114.68,2,7.1,229.37,80.87,51.36,,5.0,0
ORD-02697,2024-09-11 17:09:23.681840920,North,Mobile App,Clothing,Returning,,96.94,2,10.3,193.89,73.98,25.87,3.0,5.0,0
ORD-02805,2024-10-21 03:42:35.477738872,East,Phone,Electronics,New,31.0,185.5,9,12.7,1669.51,125.26,329.53,5.0,4.0,1
ORD-01262,2023-04-06 16:16:05.282641321,North,Mobile App,Clothing,New,44.0,44.45,4,1.7,177.81,34.21,37.87,4.0,5.0,0
ORD-01525,2023-07-11 17:18:02.341170586,South,Online,Clothing,VIP,21.0,44.69,1,18.1,44.69,25.6,10.98,2.0,1.0,0
ORD-01829,2023-10-30 17:40:22.211105552,South,Online,Home & Garden,Returning,26.0,58.54,1,15.3,58.54,37.95,11.63,,5.0,0
ORD-01683,2023-09-07 10:04:22.931465732,East,Online,Clothing,New,26.0,31.12,2,1.8,62.25,23.6,13.95,2.0,5.0,0
ORD-01034,2023-01-13 09:59:20.380190095,West,In-Store,Electronics,Returning,62.0,175.27,1,14.4,175.27,96.41,53.57,0.0,,0
ORD-01185,2023-03-09 13:24:38.539269635,East,Phone,Sports,VIP,39.0,12.79,1,13.4,12.79,8.08,3.0,6.0,4.0,1
ORD-02707,2024-09-15 08:48:01.440720360,North,Online,Electronics,Returning,46.0,202.47,1,5.6,202.47,127.51,63.61,3.0,5.0,0
ORD-01361,2023-05-12 19:56:31.095547774,East,In-Store,Home & Garden,Returning,36.0,5.0,1,1.5,5.0,3.45,1.47,1.0,4.0,0
ORD-02442,2024-06-10 14:14:20.830415208,East,Online,Electronics,New,30.0,150.86,1,7.6,150.86,99.18,40.17,2.0,4.0,0
ORD-02347,2024-05-06 21:37:22.121060528,South,Online,Clothing,Returning,24.0,125.69,3,10.7,55.57,11.48,15.18,3.0,4.0,0
ORD-01386,2023-05-21 23:03:05.492746374,North,Online,Food & Beverage,Returning,40.0,5.0,1,14.8,5.0,3.93,0.33,1.0,5.0,0
ORD-01635,2023-08-20 21:22:57.688844424,South,Mobile App,Food & Beverage,New,18.0,19.48,2,10.6,38.96,13.8,7.23,2.0,4.0,0
ORD-02050,2024-01-19 10:36:04.682341172,West,Online,Electronics,VIP,21.0,79.77,3,16.3,239.31,44.43,67.04,3.0,4.0,0
ORD-01901,2023-11-26 00:42:30.075037520,North,Mobile App,Home & Garden,New,,35.47,3,1.4,106.4,19.74,45.71,0.0,4.0,0
ORD-01731,2023-09-24 22:45:48.174087044,West,In-Store,Electronics,New,,41.41,2,3.6,82.83,32.81,14.2,0.0,2.0,0
ORD-02073,2024-01-27 20:10:55.527763884,North,Online,Electronics,New,48.0,277.79,3,4.0,833.36,206.72,179.63,5.0,4.0,0
ORD-01830,2023-10-31 02:26:13.986993496,North,In-Store,Books,VIP,46.0,22.74,1,10.7,22.74,14.1,6.21,0.0,,0
ORD-01740,2023-09-28 05:38:34.157078540,South,Online,Sports,New,67.0,68.82,3,3.7,206.47,42.88,70.28,3.0,,0
ORD-01396,2023-05-25 14:41:43.251625814,West,Online,Clothing,Returning,62.0,16.75,2,18.4,33.51,12.29,2.75,2.0,4.0,0
ORD-02479,2024-06-24 02:31:16.538269136,South,In-Store,Clothing,Returning,43.0,70.38,7,4.4,492.66,43.5,166.29,2.0,4.0,1
ORD-01007,2023-01-03 13:21:02.431215607,West,Mobile App,Clothing,New,33.0,45.72,1,9.8,45.72,26.99,14.27,1.0,4.0,0
ORD-01372,2023-05-16 20:21:00.630315158,North,Mobile App,Electronics,VIP,41.0,194.88,1,27.7,194.88,152.76,-11.95,4.0,3.0,0
ORD-02351,2024-05-08 08:40:49.224612304,East,In-Store,Food & Beverage,New,18.0,30.79,2,0.2,61.59,18.95,23.56,0.0,4.0,0
ORD-02391,2024-05-22 23:15:20.260130064,North,Mobile App,Home & Garden,New,30.0,59.4,10,11.5,593.95,44.68,78.8,2.0,3.0,0
ORD-01986,2023-12-27 01:40:51.025512756,East,Online,Sports,Returning,51.0,80.9,5,17.9,404.52,46.02,102.1,2.0,5.0,0
ORD-01020,2023-01-08 07:17:15.517758879,East,Phone,Clothing,Returning,62.0,35.3,8,10.5,282.42,28.17,27.41,7.0,4.0,0
ORD-02034,2024-01-13 14:22:16.268134068,North,Online,Electronics,Returning,,117.07,2,10.5,234.15,83.15,43.16,3.0,4.0,0
ORD-01840,2023-11-03 18:04:51.745872936,North,Online,Food & Beverage,VIP,25.0,25.41,2,13.3,50.82,18.6,6.88,3.0,5.0,1
ORD-02726,2024-09-22 07:19:25.182591296,South,Online,Electronics,New,19.0,5.0,4,1.9,20.0,3.59,5.26,,5.0,0
ORD-02033,2024-01-13 05:36:24.492246124,North,Online,Home & Garden,Returning,18.0,75.55,5,18.2,377.75,59.69,10.73,5.0,4.0,0
ORD-01820,2023-10-27 10:47:36.228114056,West,Phone,Clothing,Returning,18.0,33.05,7,7.9,231.38,21.81,60.4,4.0,3.0,0
ORD-02198,2024-03-13 11:43:47.513756880,East,Online,Clothing,VIP,58.0,88.14,3,28.9,264.43,64.82,-6.58,4.0,3.0,0
ORD-01492,2023-06-29 16:04:33.736868434,North,Mobile App,Home & Garden,Returning,24.0,57.99,2,3.9,115.99,42.15,27.21,3.0,4.0,0
ORD-01527,2023-07-12 10:49:45.892946474,North,Phone,Food & Beverage,VIP,45.0,19.77,5,21.6,98.85,11.03,22.38,4.0,5.0,0
ORD-02994,2024-12-29 04:10:41.120560280,East,In-Store,Electronics,New,33.0,277.93,1,3.6,277.93,157.79,110.26,0.0,3.0,0
ORD-01311,2023-04-24 13:43:22.301150576,North,Mobile App,Food & Beverage,Returning,31.0,51.36,6,15.2,308.16,36.88,40.03,4.0,4.0,0
ORD-01374,2023-05-17 13:52:44.182091046,North,Mobile App,Home & Garden,New,36.0,66.07,2,2.7,132.13,41.05,46.4,1.0,4.0,0
ORD-01947,2023-12-12 19:52:11.765882944,West,In-Store,Sports,New,20.0,10.87,2,1.4,21.73,7.03,7.37,0.0,4.0,0
ORD-02083,2024-01-31 11:49:33.286643324,West,In-Store,Electronics,Returning,45.0,145.13,2,11.1,290.26,95.95,66.29,0.0,4.0,0
ORD-02837,2024-11-01 20:10:12.306153080,South,Online,Clothing,Returning,18.0,53.66,1,7.5,53.66,30.92,18.71,4.0,5.0,0
ORD-02316,2024-04-25 13:55:37.068534272,South,In-Store,Clothing,New,24.0,12.18,6,6.5,73.05,9.64,10.5,0.0,,0
ORD-02389,2024-05-22 05:43:36.708354176,South,Mobile App,Books,Returning,58.0,13.22,9,8.2,119.02,7.97,37.56,3.0,5.0,1
ORD-01556,2023-07-23 00:59:47.393696848,North,In-Store,Sports,Returning,37.0,36.46,2,7.7,72.91,20.99,25.34,0.0,3.0,0
ORD-02298,2024-04-19 00:10:05.102551280,East,Online,Clothing,Returning,29.0,41.78,5,1.7,208.89,24.18,84.52,3.0,4.0,0
ORD-01367,2023-05-15 00:31:41.750875438,West,In-Store,Clothing,New,28.0,62.57,2,15.8,125.13,47.4,10.55,0.0,4.0,0
ORD-01863,2023-11-12 03:39:42.591295648,South,In-Store,Clothing,New,43.0,42.1,2,18.0,84.2,25.63,17.82,0.0,4.0,1
ORD-02668,2024-09-01 02:59:22.181090544,North,Online,Electronics,VIP,18.0,247.79,2,12.0,495.58,171.89,92.46,0.0,4.0,0
ORD-02070,2024-01-26 17:53:20.200100052,North,Mobile App,Home & Garden,Returning,49.0,51.23,2,2.6,102.46,30.52,38.77,3.0,5.0,0
ORD-02377,2024-05-17 20:33:15.397698848,South,Online,Clothing,Returning,41.0,23.1,2,4.4,46.21,12.83,18.51,,2.0,0
ORD-01611,2023-08-12 03:02:15.067533768,East,Online,Electronics,Returning,,213.07,6,5.5,1278.42,154.42,281.94,2.0,2.0,0
ORD-02870,2024-11-13 21:23:40.910455232,West,Online,Electronics,VIP,36.0,141.0,3,28.5,423.0,90.78,29.95,5.0,3.0,0
ORD-01946,2023-12-12 11:06:19.989995000,North,In-Store,Home & Garden,New,,5.0,10,12.3,50.0,3.34,10.43,0.0,3.0,0
ORD-02381,2024-05-19 07:36:42.501250624,South,In-Store,Home & Garden,New,31.0,118.98,2,2.9,237.96,78.17,74.75,0.0,4.0,0
ORD-02758,2024-10-03 23:47:02.011005504,North,In-Store,Clothing,VIP,44.0,47.63,1,19.0,47.63,36.4,2.19,0.0,3.0,1
ORD-01051,2023-01-19 14:59:00.570285142,East,In-Store,Sports,VIP,37.0,77.03,6,20.8,462.21,58.75,13.42,0.0,4.0,0
ORD-01036,2023-01-14 03:31:03.931965983,South,Online,Food & Beverage,Returning,36.0,26.67,1,9.4,26.67,19.65,4.52,5.0,3.0,0
ORD-02831,2024-10-30 15:35:01.650825416,East,Mobile App,Home & Garden,Returning,45.0,129.14,4,11.7,516.56,87.3,107.09,1.0,5.0,0
ORD-02834,2024-10-31 17:52:36.978489248,West,In-Store,BOOKS,New,22.0,10.73,4,7.2,42.93,5.94,16.09,0.0,5.0,0
ORD-02315,2024-04-25 05:09:45.292646328,East,Mobile App,Home & Garden,VIP,39.0,117.33,3,20.2,351.98,64.81,86.3,4.0,4.0,0
ORD-02336,2024-05-02 21:12:52.586293144,North,Phone,Clothing,New,37.0,80.89,5,11.8,404.45,50.4,104.87,1.0,3.0,0
ORD-01925,2023-12-04 19:03:12.696348176,North,Phone,Clothing,New,29.0,43.73,3,4.8,131.19,25.76,47.65,4.0,4.0,1
ORD-02651,2024-08-25 21:59:41.990995496,South,Online,Sports,New,33.0,13.31,3,9.0,39.92,8.57,10.6,3.0,1.0,0
ORD-02719,2024-09-19 17:58:22.751375688,North,Online,Electronics,VIP,38.0,74.78,1,12.0,74.78,53.46,12.38,4.0,3.0,0
ORD-01754,2023-10-03 08:20:39.019509756,North,Phone,Books,New,43.0,15.84,1,18.7,15.84,10.21,2.66,3.0,4.0,0
ORD-02435,2024-06-08 00:53:18.399199600,North,Online,Sports,VIP,39.0,70.6,5,21.5,352.98,38.99,81.98,6.0,3.0,0
ORD-02321,2024-04-27 09:44:55.947973984,North,Online,Clothing,Returning,40.0,26.7,5,15.5,133.52,17.05,27.61,5.0,2.0,0
ORD-01351,2023-05-09 04:17:53.336668334,West,Phone,Home & Garden,Returning,18.0,76.82,2,18.6,153.64,50.56,23.91,2.0,5.0,0
ORD-01970,2023-12-21 05:27:02.611305652,East,Online,Home & Garden,New,27.0,96.67,1,8.2,96.67,64.77,24.02,3.0,5.0,0
ORD-02632,2024-08-18 23:28:18.249124560,East,In-Store,Electronics,New,51.0,104.82,2,5.1,209.65,65.93,67.2,0.0,3.0,0
ORD-01217,2023-03-21 05:52:15.367683842,East,Online,Home & Garden,Returning,36.0,76.88,2,8.5,153.75,59.75,21.1,4.0,5.0,0
ORD-02910,2024-11-28 11:58:11.945972984,South,Online,Clothing,VIP,18.0,25.32,2,24.4,50.65,16.27,5.76,3.0,3.0,1
ORD-02233,2024-03-26 06:28:59.669834920,North,Online,Clothing,Returning,25.0,18.11,2,0.3,36.21,10.7,14.7,3.0,4.0,0
ORD-01146,2023-02-23 07:35:59.279639820,East,In-Store,Electronics,Returning,62.0,5.0,1,2.2,5.0,4.0,0.89,1.0,,0
ORD-01284,2023-04-14 17:05:04.352176088,East,Online,Home & Garden,New,18.0,115.09,3,5.1,345.27,82.92,78.93,4.0,4.0,0
