order_id,order_date,region,sales_channel,product_category,customer_segment,customer_age,unit_price,quantity,discount_pct,revenue,cost,profit,shipping_days,satisfaction_score,returned,price_outlier_flag,order_year,order_month,order_quarter,order_dayofweek,net_revenue,profit_margin,revenue_per_unit
ORD-02395,2024-05-24 10:18:47.363681840,West,Phone,Clothing,New,54,9.78,1,18.6,9.78,7.68,0.28,5,4,0,0,2024,5,2,Friday,7.96,2.86,9.78
ORD-01397,2023-05-25 23:27:35.027513758,South,Online,Electronics,New,34,54.09,1,10.7,54.09,39.58,8.72,0,4,0,0,2023,5,2,Thursday,48.3,16.12,54.09
ORD-01824,2023-10-28 21:51:03.331665832,South,Online,Home & Garden,New,21,65.81,2,0.2,131.62,49.04,33.21,3,2,0,0,2023,10,4,Saturday,131.36,25.23,65.81
ORD-02591,2024-08-04 00:07:55.437718864,West,Online,Home & Garden,VIP,48,29.56,5,11.3,147.79,23.02,16.04,3,4,0,0,2024,8,3,Sunday,131.09,10.85,29.56
ORD-02027,2024-01-11 01:01:13.836918460,West,In-Store,Electronics,VIP,36,82.11,3,14.3,246.33,60.23,30.35,1,4,0,0,2024,1,1,Thursday,211.1,12.32,82.11
ORD-02423,2024-06-03 15:42:57.088544272,North,Online,Clothing,Returning,47,9.22,4,15.4,36.86,5.68,8.47,2,4,0,0,2024,6,2,Monday,31.18,22.98,9.22
ORD-01602,2023-08-08 20:09:29.084542272,North,Mobile App,Food & Beverage,Returning,30,20.59,2,17.2,41.19,13.44,7.24,3,5,0,0,2023,8,3,Tuesday,34.11,17.58,20.6
ORD-02842,2024-11-03 15:59:31.185592800,South,In-Store,Electronics,New,53,206.76,1,8.6,206.76,130.98,57.92,1,1,1,0,2024,11,4,Sunday,188.98,28.01,206.76
ORD-02088,2024-02-02 07:38:52.166083044,West,In-Store,Home & Garden,New,40,109.9,1,17.4,109.9,80.09,10.65,0,4,0,0,2024,2,1,Friday,90.78,9.69,109.9
ORD-02274,2024-04-10 05:49:22.481240624,South,Mobile App,Home & Garden,Returning,57,5.0,1,9.9,5.0,3.96,0.54,1,5,0,0,2024,4,2,Wednesday,4.5,10.8,5.0
ORD-02506,2024-07-03 23:09:34.487243624,East,Phone,Home & Garden,Returning,24,122.37,4,17.3,489.5,88.74,49.83,6,4,0,0,2024,7,3,Wednesday,404.82,10.18,122.38
ORD-02461,2024-06-17 12:45:44.572286144,East,Online,Electronics,Returning,23,168.58,1,6.4,168.58,128.61,29.2,4,5,0,0,2024,6,2,Monday,157.79,17.32,168.58
ORD-01108,2023-02-09 10:33:11.795897949,North,Online,Books,New,20,21.52,2,12.1,43.03,13.96,9.92,3,3,0,0,2023,2,1,Thursday,37.82,23.05,21.52
ORD-01426,2023-06-05 13:37:36.528264132,South,Online,Electronics,VIP,38,36.41,1,22.3,36.41,25.89,2.4,6,5,0,0,2023,6,2,Monday,28.29,6.59,36.41
ORD-02945,2024-12-11 06:43:24.102051024,South,Online,Clothing,New,33,35.0,3,11.3,105.01,26.63,13.2,5,3,0,0,2024,12,4,Wednesday,93.14,12.57,35.0
ORD-02696,2024-09-11 08:23:31.905952976,North,Phone,Clothing,Returning,40,86.32,1,6.5,86.32,65.43,15.29,5,4,0,0,2024,9,3,Wednesday,80.71,17.71,86.32
ORD-02890,2024-11-21 04:40:56.428214112,North,Mobile App,Sports,New,28,52.87,1,19.3,52.87,31.95,10.7,0,5,0,0,2024,11,4,Thursday,42.67,20.24,52.87
ORD-02683,2024-09-06 14:27:18.819409704,West,Online,Electronics,Returning,31,52.74,1,6.8,52.74,39.37,9.8,4,3,0,0,2024,9,3,Friday,49.15,18.58,52.74
ORD-01298,2023-04-19 19:47:09.214607304,East,Online,Clothing,Returning,24,12.76,3,7.9,38.29,8.65,9.33,3,4,0,0,2023,4,2,Wednesday,35.27,24.37,12.76
ORD-02574,2024-07-28 19:08:15.247623816,North,Mobile App,Sports,New,37,37.23,2,12.9,74.45,21.19,22.47,4,5,0,0,2024,7,3,Sunday,64.85,30.18,37.22
ORD-02330,2024-04-30 16:37:41.930965480,East,In-Store,Clothing,New,31,69.13,2,17.0,138.27,47.56,19.62,0,1,0,0,2024,4,2,Tuesday,114.76,14.19,69.14
ORD-01691,2023-09-10 08:11:17.138569284,South,In-Store,Clothing,New,40,71.84,3,2.0,215.52,54.99,46.33,0,4,0,0,2023,9,3,Sunday,211.21,21.5,71.84
ORD-02273,2024-04-09 21:03:30.705352680,North,In-Store,Books,New,71,6.81,2,11.6,13.61,5.06,3.16,0,4,0,0,2024,4,2,Tuesday,12.03,23.22,6.8
ORD-01392,2023-05-24 03:38:16.148074038,South,In-Store,Sports,Returning,32,70.62,3,14.7,211.86,55.75,13.43,0,4,1,0,2023,5,2,Wednesday,180.72,6.34,70.62
ORD-02642,2024-08-22 15:06:56.008004000,South,In-Store,Clothing,Returning,29,55.29,3,8.8,165.87,33.21,51.65,0,4,0,0,2024,8,3,Thursday,151.27,31.14,55.29
ORD-01501,2023-07-02 22:57:19.719859930,South,Mobile App,Home & Garden,New,51,123.55,2,13.1,247.1,92.74,29.27,3,4,0,0,2023,7,3,Sunday,214.73,11.85,123.55
ORD-02137,2024-02-20 05:06:09.184592296,South,Mobile App,Electronics,Returning,39,170.47,4,7.6,681.88,135.97,86.37,2,4,0,0,2024,2,1,Tuesday,630.06,12.67,170.47
ORD-01206,2023-03-17 05:27:45.832916458,North,Online,Home & Garden,New,18,22.19,4,3.2,88.75,13.62,31.42,4,4,0,0,2023,3,1,Friday,85.91,35.4,22.19
ORD-02475,2024-06-22 15:27:49.434717360,East,Mobile App,Clothing,Returning,32,19.53,1,0.0,19.53,12.71,6.82,3,3,0,0,2024,6,2,Saturday,19.53,34.92,19.53
ORD-01841,2023-11-04 02:50:43.521760880,East,Mobile App,Food & Beverage,New,51,5.0,9,9.0,45.0,3.99,5.02,3,2,0,0,2023,11,4,Saturday,40.95,11.16,5.0
ORD-01452,2023-06-15 01:30:02.701350676,South,In-Store,Books,Returning,37,5.0,2,13.9,10.0,2.87,2.86,0,3,0,0,2023,6,2,Thursday,8.61,28.6,5.0
ORD-01630,2023-08-19 01:33:38.809404704,East,In-Store,Electronics,Returning,33,139.8,7,4.9,978.59,105.95,188.5,0,3,0,0,2023,8,3,Saturday,930.64,19.26,139.8
ORD-01127,2023-02-16 09:04:35.537768884,West,Online,Food & Beverage,New,48,19.4,3,13.9,58.2,15.23,4.38,5,5,0,0,2023,2,1,Thursday,50.11,7.53,19.4
ORD-02123,2024-02-15 02:24:04.322161080,West,In-Store,Home & Garden,VIP,47,83.89,5,23.6,419.46,67.01,-14.71,3,3,1,0,2024,2,1,Thursday,320.47,-3.51,83.89
ORD-01037,2023-01-14 12:16:55.707853927,North,Online,Books,VIP,37,17.64,1,28.0,17.64,11.95,0.74,5,4,0,0,2023,1,1,Saturday,12.7,4.2,17.64
ORD-01789,2023-10-16 03:05:51.175587796,West,Phone,Clothing,Returning,57,86.93,4,16.8,347.71,63.57,35.13,4,5,0,0,2023,10,4,Monday,289.29,10.1,86.93
ORD-01882,2023-11-19 02:11:06.333166584,North,Online,Books,New,30,18.34,2,6.4,36.69,10.6,13.17,5,4,0,0,2023,11,4,Sunday,34.34,35.9,18.34
ORD-02302,2024-04-20 11:13:32.206103056,North,In-Store,Sports,New,28,64.17,1,5.2,64.17,41.04,19.82,0,5,0,0,2024,4,2,Saturday,60.83,30.89,64.17
ORD-02699,2024-09-12 10:41:07.233616808,South,Online,Clothing,New,40,32.41,2,18.9,64.82,21.76,9.03,4,4,0,0,2024,9,3,Thursday,52.57,13.93,32.41
ORD-02319,2024-04-26 16:13:12.396198096,North,Mobile App,Home & Garden,VIP,72,47.34,1,12.6,47.34,29.03,12.34,2,2,0,0,2024,4,2,Friday,41.38,26.07,47.34
ORD-01058,2023-01-22 04:20:03.001500750,North,Mobile App,Books,VIP,33,25.19,2,14.3,50.37,16.21,10.74,5,5,0,0,2023,1,1,Sunday,43.17,21.32,25.18
ORD-02510,2024-07-05 10:13:01.590795400,West,Online,Electronics,VIP,37,132.41,1,15.8,132.41,88.23,23.29,3,4,0,0,2024,7,3,Friday,111.49,17.59,132.41
ORD-01196,2023-03-13 13:49:08.074037019,East,In-Store,Electronics,New,51,114.68,2,7.1,229.37,80.87,51.36,3,5,0,0,2023,3,1,Monday,213.08,22.39,114.68
ORD-02697,2024-09-11 17:09:23.681840920,North,Mobile App,Clothing,Returning,37,96.94,2,10.3,193.89,73.98,25.87,3,5,0,0,2024,9,3,Wednesday,173.92,13.34,96.94
ORD-02805,2024-10-21 03:42:35.477738872,East,Phone,Electronics,New,31,185.5,9,12.7,1669.51,125.26,329.53,5,4,1,0,2024,10,4,Monday,1457.48,19.74,185.5
ORD-01262,2023-04-06 16:16:05.282641321,North,Mobile App,Clothing,New,44,44.45,4,1.7,177.81,34.21,37.87,4,5,0,0,2023,4,2,Thursday,174.79,21.3,44.45
ORD-01525,2023-07-11 17:18:02.341170586,South,Online,Clothing,VIP,21,44.69,1,18.1,44.69,25.6,10.98,2,1,0,0,2023,7,3,Tuesday,36.6,24.57,44.69
ORD-01829,2023-10-30 17:40:22.211105552,South,Online,Home & Garden,Returning,26,58.54,1,15.3,58.54,37.95,11.63,3,5,0,0,2023,10,4,Monday,49.58,19.87,58.54
ORD-01683,2023-09-07 10:04:22.931465732,East,Online,Clothing,New,26,31.12,2,1.8,62.25,23.6,13.95,2,5,0,0,2023,9,3,Thursday,61.13,22.41,31.12
ORD-01034,2023-01-13 09:59:20.380190095,West,In-Store,Electronics,Returning,62,175.27,1,14.4,175.27,96.41,53.57,0,4,0,0,2023,1,1,Friday,150.03,30.56,175.27
ORD-01185,2023-03-09 13:24:38.539269635,East,Phone,Sports,VIP,39,12.79,1,13.4,12.79,8.08,3.0,6,4,1,0,2023,3,1,Thursday,11.08,23.46,12.79
ORD-02707,2024-09-15 08:48:01.440720360,North,Online,Electronics,Returning,46,202.47,1,5.6,202.47,127.51,63.61,3,5,0,0,2024,9,3,Sunday,191.13,31.42,202.47
ORD-01361,2023-05-12 19:56:31.095547774,East,In-Store,Home & Garden,Returning,36,5.0,1,1.5,5.0,3.45,1.47,1,4,0,0,2023,5,2,Friday,4.92,29.4,5.0
ORD-02442,2024-06-10 14:14:20.830415208,East,Online,Electronics,New,30,150.86,1,7.6,150.86,99.18,40.17,2,4,0,0,2024,6,2,Monday,139.39,26.63,150.86
ORD-02347,2024-05-06 21:37:22.121060528,South,Online,Clothing,Returning,24,125.69,3,10.7,55.57,11.48,15.18,3,4,0,0,2024,5,2,Monday,49.62,27.32,18.52
ORD-01386,2023-05-21 23:03:05.492746374,North,Online,Food & Beverage,Returning,40,5.0,1,14.8,5.0,3.93,0.33,1,5,0,0,2023,5,2,Sunday,4.26,6.6,5.0
ORD-01635,2023-08-20 21:22:57.688844424,South,Mobile App,Food & Beverage,New,18,19.48,2,10.6,38.96,13.8,7.23,2,4,0,0,2023,8,3,Sunday,34.83,18.56,19.48
ORD-02050,2024-01-19 10:36:04.682341172,West,Online,Electronics,VIP,21,79.77,3,16.3,239.31,44.43,67.04,3,4,0,0,2024,1,1,Friday,200.3,28.01,79.77
ORD-01901,2023-11-26 00:42:30.075037520,North,Mobile App,Home & Garden,New,37,35.47,3,1.4,106.4,19.74,45.71,0,4,0,0,2023,11,4,Sunday,104.91,42.96,35.47
ORD-01731,2023-09-24 22:45:48.174087044,West,In-Store,Electronics,New,37,41.41,2,3.6,82.83,32.81,14.2,0,2,0,0,2023,9,3,Sunday,79.85,17.14,41.42
ORD-02073,2024-01-27 20:10:55.527763884,North,Online,Electronics,New,48,277.79,3,4.0,833.36,206.72,179.63,5,4,0,1,2024,1,1,Saturday,800.03,21.55,277.79
ORD-01830,2023-10-31 02:26:13.986993496,North,In-Store,Books,VIP,46,22.74,1,10.7,22.74,14.1,6.21,0,4,0,0,2023,10,4,Tuesday,20.31,27.31,22.74
ORD-01740,2023-09-28 05:38:34.157078540,South,Online,Sports,New,67,68.82,3,3.7,206.47,42.88,70.28,3,4,0,0,2023,9,3,Thursday,198.83,34.04,68.82
ORD-01396,2023-05-25 14:41:43.251625814,West,Online,Clothing,Returning,62,16.75,2,18.4,33.51,12.29,2.75,2,4,0,0,2023,5,2,Thursday,27.34,8.21,16.76
ORD-02479,2024-06-24 02:31:16.538269136,South,In-Store,Clothing,Returning,43,70.38,7,4.4,492.66,43.5,166.29,2,4,1,0,2024,6,2,Monday,470.98,33.75,70.38
ORD-01007,2023-01-03 13:21:02.431215607,West,Mobile App,Clothing,New,33,45.72,1,9.8,45.72,26.99,14.27,1,4,0,0,2023,1,1,Tuesday,41.24,31.21,45.72
ORD-01372,2023-05-16 20:21:00.630315158,North,Mobile App,Electronics,VIP,41,194.88,1,27.7,194.88,152.76,-11.95,4,3,0,0,2023,5,2,Tuesday,140.9,-6.13,194.88
ORD-02351,2024-05-08 08:40:49.224612304,East,In-Store,Food & Beverage,New,18,30.79,2,0.2,61.59,18.95,23.56,0,4,0,0,2024,5,2,Wednesday,61.47,38.25,30.8
ORD-02391,2024-05-22 23:15:20.260130064,North,Mobile App,Home & Garden,New,30,59.4,10,11.5,593.95,44.68,78.8,2,3,0,0,2024,5,2,Wednesday,525.65,13.27,59.4
ORD-01986,2023-12-27 01:40:51.025512756,East,Online,Sports,Returning,51,80.9,5,17.9,404.52,46.02,102.1,2,5,0,0,2023,12,4,Wednesday,332.11,25.24,80.9
ORD-01020,2023-01-08 07:17:15.517758879,East,Phone,Clothing,Returning,62,35.3,8,10.5,282.42,28.17,27.41,7,4,0,0,2023,1,1,Sunday,252.77,9.71,35.3
ORD-02034,2024-01-13 14:22:16.268134068,North,Online,Electronics,Returning,37,117.07,2,10.5,234.15,83.15,43.16,3,4,0,0,2024,1,1,Saturday,209.56,18.43,117.08
ORD-01840,2023-11-03 18:04:51.745872936,North,Online,Food & Beverage,VIP,25,25.41,2,13.3,50.82,18.6,6.88,3,5,1,0,2023,11,4,Friday,44.06,13.54,25.41
ORD-02726,2024-09-22 07:19:25.182591296,South,Online,Electronics,New,19,5.0,4,1.9,20.0,3.59,5.26,3,5,0,0,2024,9,3,Sunday,19.62,26.3,5.0
ORD-02033,2024-01-13 05:36:24.492246124,North,Online,Home & Garden,Returning,18,75.55,5,18.2,377.75,59.69,10.73,5,4,0,0,2024,1,1,Saturday,309.0,2.84,75.55
ORD-01820,2023-10-27 10:47:36.228114056,West,Phone,Clothing,Returning,18,33.05,7,7.9,231.38,21.81,60.4,4,3,0,0,2023,10,4,Friday,213.1,26.1,33.05
ORD-02198,2024-03-13 11:43:47.513756880,East,Online,Clothing,VIP,58,88.14,3,28.9,264.43,64.82,-6.58,4,3,0,0,2024,3,1,Wednesday,188.01,-2.49,88.14
ORD-01492,2023-06-29 16:04:33.736868434,North,Mobile App,Home & Garden,Returning,24,57.99,2,3.9,115.99,42.15,27.21,3,4,0,0,2023,6,2,Thursday,111.47,23.46,58.0
